Cod.;Nome;Totale A;Quantità A;Totale B;Quantità B;Andamento A/B
028320;INTERRUTTORE BIANCO;3,48;3,00;3,48;3,00;
9975-A;Kit x fissaggio a terra;112,86;3,00;112,86;3,00;
EST20012;CHER parete 5W 3000K ruggine IP65;348,00;3,00;348,00;3,00;
029498;INTERRUTTORE TRASPARENTE;3,87;3,00;3,87;3,00;
SFP-CH50;CARTUCCIA SALDANTE 5,0MM;54,00;3,00;54,00;3,00;
AL5014ELR3RBS;CAPITAL 300 RGBW ELLIPTICAL RGB+W 3000K DMX-RDM BLACK RAL 9005 POWER IN, DMX IN, DMX OUT;3702,00;3,00;3702,00;3,00;
SOSPENSIONE SPHERE;Spherelamp composizione di 5 palline di vetro a sospensione;75,00;3,00;75,00;3,00;
AL8284;***DCS_ACCESSORIES JUPITER CONNECTION KIT POWER IN+DMX IN/OUT;51,00;3,00;51,00;3,00;
UTD1760/6;VIDEOCITOFONO VOG5 2VOICE VV B;482,88;3,00;482,88;3,00;
SCP-CNL04;CARTUCCIA SALDANTE A.T. 0,4MM;51,60;3,00;51,60;3,00;
5211-A;Finale esagonale  5211-A;7,11;3,00;7,11;3,00;
EXL542-021-BK;RIPIANO A SBALZO 1U 19 400MM MAX 10KG NERO;74,73;3,00;74,73;3,00;
MT-L300;Lineare PSL-3-300 - Input Voltage: 48Vdc - Power:8W - CCT:3000K - Beam angle: 70Â°-  dimension:L300*H11mm - Finiture: Black;18,66;3,00;18,66;3,00;
QBX2011018;PANNELLO PASSACAVI 19 1U 4 ANELLI NERO;65,28;3,00;65,28;3,00;
STICK-DE3;The lighting controller;1791,39;3,00;1791,39;3,00;
AL5280WW30DM;PARADE L-2 B RECESSED WHITE LIGHT WALL WASH WARM WHITE 3000K DALI HYBRID CABLES FOR DALI WITHOUT CONNECTORS;0,00;3,00;0,00;3,00;
0012A2300/TR;SPINA S/TERRA TRASP.;2,25;3,00;2,25;3,00;
POWER4M;AC/DC 7V adapter for Architectural;36,00;3,00;36,00;3,00;
AL8317;"*** CONNECTION KIT FOR 2 DALI CAVO IBRIDO - ""M"" CONNECTION";0,00;3,00;0,00;3,00;
0012A2300N;SPINA S/TERRA NERA;2,28;3,00;2,28;3,00;
CONOINOX;CONO DIAM 600 INOX CHIUSO CON SALDATURA;345,00;3,00;345,00;3,00;
AL5086;Cassaforma per AL5280;0,00;3,00;0,00;3,00;
t.croce.100;Croce terra;600,00;2,00;600,00;2,00;
123-00302-S;F120/ F170 MODELING BASES;306,00;2,00;306,00;2,00;
BMMTP7TG20/16;TUBO - GUAINA IP67 D 20/16;1,54;2,00;1,54;2,00;
TT.15.0023;Etichette in poliestere metallizzato satinato FAS (25 h x 50 b mm);3230600,00;2,00;3230600,00;2,00;
333-90300;MTRL, FDM, (M), ABSM30 IVR, 90CI;498,00;2,00;498,00;2,00;
LPV-60-12;LPV-60-12;13,78;2,00;13,78;2,00;
XLG-320-24A;Alimentatore XLG-320-24A IP67;68,00;2,00;68,00;2,00;
123-00402-S;F123 series extrusion head 20mm fan (sostituisce il codice 123-00401-S);1790,00;2,00;1790,00;2,00;
HP17-S2-R50M;S2 Surface Mounted Downlight;83,60;2,00;83,60;2,00;
MT-A-1,5;Binario bassa tensione (48Vdc) Pico da superficie - Size:L1500*W11*H13,7mm - Finiture: Black;8,30;2,00;8,30;2,00;
UTD1784/801;KIT BASE MIKRA2 MONOFAMILIARE;460,00;2,00;460,00;2,00;
XTR02;Triangolo Acciaio Custom;0,00;2,00;0,00;2,00;
SCP-CH20;CARTUCCIA SALDANTE A.T. 2,0MM;34,40;2,00;34,40;2,00;
GCP14819060;CINTURA 8 PORTALAMPADE E27 CON CALATE S;68,12;2,00;68,12;2,00;
EXL100-080;CAVI CAT.6 U/UTP AWG24 LS0H DCA 305M VIO;258,00;2,00;258,00;2,00;
EXL100-755;PATCH PANEL KEYSTONE 24 PORTE 1U - VUOTO;35,00;2,00;35,00;2,00;
76875;VITI 4.8 TC UNI 7687 DIN 7985 2,5X6 ZINCATO BIANCO 1000pz;14,00;2,00;14,00;2,00;
SFERA VETRO TRASPARENTE;SFERA VETRO TRASPARENTE;0,00;2,00;0,00;2,00;
V2-200-24T V2.0;AcTec V2-200-24T V2.0;72,78;2,00;72,78;2,00;
LDVVCA75830C1;Lampadina E27 7.5W 230VAC 3000K A FILAMENTO;5,82;2,00;5,82;2,00;
333-60131;PLA - Natural Translucent 983cc;180,00;2,00;180,00;2,00;
MT-A-1;Binario bassa tensione (48Vdc) Pico da superficie - Size:L1000*W11*H13,7mm - Finiture: Black;5,54;2,00;5,54;2,00;
LED-NO.3 (sample);Making 2pcs samples of LED board NO.3;70,00;2,00;70,00;2,00;
EXL555-072;PDU ORIZZ. 6 PRESE SCHUKO CON INT. LUMIN;74,00;2,00;74,00;2,00;
