"Azioni";"Codice";"Nome";"Barcode";"Tipo";"Categoria";"Sottocategoria";"Giacenza";"Prezzo di acquisto";"Valore magazzino";"Q.tà per confezione";"Prezzo €";"Iva";"Creato da";"Disabilitato"
"";"NS16x16-PROFILE";"Profilo in alluminio per alloggiamento Neon strip 16x16";"";"Semplice";"";"";"0";"";"";"1";"10,3";"IVA 22%";"Giacomo";"false"
"";"AC02-10S-C";"Faretto da incasso quadrato ACE. Input Voltage: 220V - Power: 10W - CCT: 3000K - Beam angle: 36° - CRI90 - IP20";"";"Semplice";"";"";"0";"";"";"1";"50,82";"IVA 22%";"Giacomo";"false"
"";"PROJEX20";"Proiettore per binario 220V. Input Voltage: 220V - Power: 20W - CCT: 3000K - Beam angle: 20° - CRI90 - Size:65mmD*150mmL*140mmH";"";"Semplice";"";"";"0";"";"";"1";"31,5";"IVA 22%";"Giacomo";"false"
"";"PSI21-1,8";"Profilo PSI 35x35mm lunghezza:1,8m. Input Voltage: 220Vac - Power: 90W - CCT: 3000K - Finitura: Black";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"SerpenteLight";"Neon Flex D40 3000K lunghezza 3m con copertura metallica";"";"Semplice";"";"";"0";"";"";"1";"320";"IVA 22%";"Giacomo";"false"
"";"KIT_ILLUMINAZIONE";"Kit illuminazione Applique";"";"Semplice";"";"";"0";"";"";"1";"42";"IVA 22%";"Giacomo";"false"
"";"DLA1224-1CV";"Easy Booster Led Amplificatore Segnale PWM DC 12V 24V 10A CV";"";"Semplice";"";"";"0";"";"";"1";"35";"IVA 22%";"Giacomo";"false"
"";"M20-G1-65L-36-DALI";"Proietttore luce lineare spot G1 ON/OFF - dimension:652*22*25mm - Finitura: Black/White";"";"Semplice";"";"";"0";"42,37";"0,0000000000";"1";"0";"non soggette – altri casi";"Giacomo";"false"
"";"MICROSPIKE";"Faretto da incasso a terra Microspike. input Voltage: 350mA - Power: 1W - CCT: 3000K - Beam angle: 120°";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"SHIN-B";"faretto da superficie Shin-B. Input Voltage: 24Vdc - Power: 1W - CCT: 3000K - Beam angle: 20° - IP20";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"SHIN-P";"Faretto da superficie Shin-P. Input Voltage: 220vac - Power: 18W - CCT:3000K - Beam angle: 24° - IP20";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"CLIPNS8X8";"Clip per neon strip 8x8";"";"Semplice";"";"";"0";"";"";"1";"5";"IVA 22%";"Giacomo";"false"
"";"KIPIO-M";"Proiettore da esterno Kipio M. Input Voltage: 24Vdc - CCT: 3000K - Beam angle: 45° - IP66";"";"Semplice";"";"";"0";"";"";"1";"260";"IVA 22%";"Giacomo";"false"
"";"RU20";"Profilo in alluminio Round20 (diametro:20mm) finitura: black + Strip led 21,6W/m 3000K CRI90 IP20";"";"Semplice";"";"";"0";"";"";"1";"45";"IVA 22%";"Giacomo";"false"
"";"I-Lamp-2";"Bollard da esterno I-Lamp-2. Input Voltage: 24Vdc - Power: 10W - CCT:3000K - IP65 - Size: D70*H2000 -Finitura: Graphite";"";"Semplice";"";"";"0";"";"";"1";"150";"IVA 22%";"Giacomo";"false"
"";"FOCUS-18";"Faretto da incasso orientabile Focus 18. Input Voltage:220V - Power: 18W - CCT: 3000K - CRI90 - IP40 - Size: D84*H30 - Cutout:75mm";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"POINT10";"Faretto da incasso Point 10. Input Voltage: 220Vac - Power: 10W - CCT: 3000K - Beam angle: 40° -  Size:D105*H60 - Cutout: 95mm";"";"Semplice";"";"";"0";"";"";"1";"64,75";"IVA 22%";"Giacomo";"false"
